Games,pass_completion,pass_attempts,pass_completion_percent,pass_yards,pass_td,rush_attempt,rush_yards,avg_rush_yard,rush_td,num_plays,total_yard,yard_per_play,pass_first_down,rush_first_down,penalty_first,first_downs,penalty,penalty_yards,lost_fumble,interceptions,turnovers,SRS,SOS,de_pass_completion,de_pass_attempts,de_pass_completion_percent,de_pass_yards,de_pass_td,de_rush_attempt,de_rush_yards,de_avg_rush_yard,de_rush_td,de_num_plays,de_total_yard,de_yard_per_play,de_pass_first_down,de_rush_first_down,de_penalty_first,de_first_downs,de_penalty,de_penalty_yards,de_lost_fumble,de_interceptions,de_turnovers,team_name
7,28.6,36.1,79.1,326.1,3.0,33.3,225.4,6.8,3.0,69.4,551.6,7.9,14.0,11.6,1.9,27.4,6.9,60.0,0.0,0.1,0.1,15.3,-0.55,22.0,35.1,62.6,217.4,1.6,29.1,95.1,3.3,0.4,64.3,312.6,4.9,9.4,6.0,2.3,17.7,6.3,53.0,0.3,0.7,1.0,oregon
7,17.4,28.3,61.6,249.1,2.6,35.7,195.1,5.5,2.1,64.0,444.3,6.9,10.6,10.3,1.0,21.9,6.7,60.3,0.3,0.6,0.9,14.32,0.6,20.0,33.7,59.3,220.4,1.4,33.0,123.3,3.7,1.1,66.7,343.7,5.2,9.1,8.4,2.4,20.0,4.7,32.9,0.7,1.0,1.7,oregon-state
7,20.4,33.9,60.3,218.7,2.3,42.0,181.3,4.3,2.4,75.9,400.0,5.3,11.0,11.3,2.1,24.4,5.1,44.6,0.4,0.0,0.4,18.52,0.24,14.3,27.7,51.5,144.7,0.3,31.7,73.4,2.3,0.9,59.4,218.1,3.7,6.3,4.9,1.6,12.7,5.6,45.1,1.1,1.0,2.1,penn-state
7,15.6,30.0,51.9,209.3,1.6,32.4,111.6,3.4,1.1,62.4,320.9,5.1,8.7,6.7,1.7,17.1,8.9,71.7,0.4,0.7,1.1,-1.36,1.21,16.0,25.3,63.3,195.3,1.4,40.4,126.4,3.1,1.6,65.7,321.7,4.9,8.9,7.3,3.0,19.1,5.0,49.0,0.6,0.7,1.3,pittsburgh
7,21.4,35.6,60.2,232.1,1.0,37.0,139.1,3.8,1.9,72.6,371.3,5.1,11.3,8.4,2.4,22.1,6.1,54.9,0.7,0.7,1.4,1.72,7.86,17.6,32.0,54.9,241.9,1.7,36.3,153.6,4.2,2.0,68.3,395.4,5.8,10.6,8.1,2.4,21.1,7.1,60.0,0.4,0.9,1.3,purdue
7,23.4,36.6,64.1,319.9,2.6,28.6,92.4,3.2,2.0,65.1,412.3,6.3,12.3,5.9,1.9,20.0,5.6,43.4,0.7,0.7,1.4,-0.96,-3.53,17.7,30.4,58.2,242.6,1.6,37.0,141.0,3.8,1.6,67.4,383.6,5.7,11.1,6.6,1.9,19.6,6.6,57.0,0.7,0.4,1.1,rice
8,11.9,23.3,51.1,148.4,1.0,39.9,178.8,4.5,2.4,63.1,327.1,5.2,6.5,10.9,1.1,18.5,4.5,41.4,0.4,0.5,0.9,9.44,0.31,16.6,30.0,55.4,156.3,1.0,33.8,120.5,3.6,0.8,63.8,276.8,4.3,7.0,8.9,1.8,17.6,4.5,40.1,0.9,0.6,1.5,rutgers
8,22.1,36.0,61.5,210.9,1.3,29.1,81.1,2.8,0.8,65.1,292.0,4.5,10.0,5.4,1.5,16.9,5.5,47.4,0.1,1.0,1.1,-11.15,0.1,17.3,28.4,60.8,205.9,1.3,40.3,183.0,4.5,2.1,68.6,388.9,5.7,8.5,9.9,1.0,19.4,6.9,60.4,0.5,0.4,0.9,sam-houston-state
8,15.5,25.4,61.1,170.5,0.8,37.1,145.9,3.9,1.4,62.5,316.4,5.1,7.4,8.3,0.9,16.5,5.4,47.4,0.8,0.9,1.6,-8.22,-1.09,18.1,34.1,53.1,257.0,1.6,33.4,161.8,4.8,1.6,67.5,418.8,6.2,10.3,9.8,1.9,21.9,5.0,42.8,0.6,1.1,1.8,san-diego-state
8,19.4,31.9,60.8,227.3,1.5,30.9,161.3,5.2,2.6,62.8,388.5,6.2,9.4,9.0,2.3,20.6,5.8,45.5,0.4,0.4,0.8,-0.82,1.43,15.3,24.4,62.6,182.9,1.6,40.3,196.9,4.9,2.4,64.6,379.8,5.9,9.0,10.5,0.5,20.0,7.4,63.0,0.9,0.8,1.6,san-jose-state
