Games,pass_completion,pass_attempts,pass_completion_percent,pass_yards,pass_td,rush_attempt,rush_yards,avg_rush_yard,rush_td,num_plays,total_yard,yard_per_play,pass_first_down,rush_first_down,penalty_first,first_downs,penalty,penalty_yards,lost_fumble,interceptions,turnovers,SRS,SOS,de_pass_completion,de_pass_attempts,de_pass_completion_percent,de_pass_yards,de_pass_td,de_rush_attempt,de_rush_yards,de_avg_rush_yard,de_rush_td,de_num_plays,de_total_yard,de_yard_per_play,de_pass_first_down,de_rush_first_down,de_penalty_first,de_first_downs,de_penalty,de_penalty_yards,de_lost_fumble,de_interceptions,de_turnovers,team_name
7,17.4,31.7,55.0,248.9,1.9,42.7,215.6,5.0,2.3,74.4,464.4,6.2,10.4,10.9,1.9,23.1,6.6,51.4,0.4,1.4,1.9,11.2,0.49,19.6,34.3,57.1,214.0,1.1,30.9,68.6,2.2,0.1,65.1,282.6,4.3,9.9,4.6,1.3,15.7,5.7,52.6,1.0,1.3,2.3,ucla
8,23.8,34.1,69.6,323.3,3.0,28.6,157.9,5.5,2.6,62.8,481.1,7.7,14.5,7.5,2.0,24.0,8.3,74.3,0.8,0.5,1.3,10.19,1.56,19.8,32.5,60.8,243.4,2.5,37.6,164.3,4.4,1.1,70.1,407.6,5.8,9.4,9.6,2.5,21.5,6.0,49.9,0.5,0.6,1.1,southern-california
7,13.0,23.3,55.8,161.7,1.0,44.1,183.3,4.2,1.6,67.4,345.0,5.1,6.6,10.1,1.4,18.1,5.1,38.4,0.1,0.4,0.6,12.4,3.25,17.6,31.7,55.4,217.4,0.7,26.3,78.0,3.0,1.0,58.0,295.4,5.1,8.7,3.9,1.1,13.7,7.3,52.6,0.6,1.0,1.6,utah
8,22.1,35.3,62.8,287.4,3.1,35.5,163.8,4.6,1.3,70.8,451.1,6.4,11.8,8.8,1.8,22.3,7.0,61.8,0.5,1.6,2.1,-1.17,0.33,20.6,34.1,60.4,234.5,2.0,41.4,174.5,4.2,2.4,75.5,409.0,5.4,10.4,11.4,2.1,23.9,5.6,46.9,1.0,1.0,2.0,utah-state
9,14.0,26.3,53.2,201.4,1.0,38.7,159.9,4.1,1.3,65.0,361.3,5.6,8.1,7.9,2.6,18.6,7.1,64.0,0.3,1.0,1.3,-12.18,-4.4,15.9,27.2,58.4,204.9,1.2,35.9,180.2,5.0,2.2,63.1,385.1,6.1,8.3,8.9,2.3,19.6,6.9,63.4,0.2,0.4,0.7,texas-el-paso
7,23.1,34.7,66.7,238.4,2.0,38.1,155.9,4.1,1.7,72.9,394.3,5.4,11.4,10.0,1.1,22.6,5.9,47.7,0.6,1.1,1.7,1.5,-2.5,21.0,35.6,59.0,241.1,1.4,36.9,130.0,3.5,1.4,72.4,371.1,5.1,11.4,6.9,1.6,19.9,4.3,35.0,0.6,0.6,1.1,texas-san-antonio
8,19.8,34.8,56.8,265.8,2.4,25.4,83.3,3.3,1.0,60.1,349.0,5.8,10.6,4.9,2.0,17.5,4.9,42.6,0.6,1.1,1.8,-7.42,0.96,24.3,35.3,68.8,263.4,2.0,35.0,174.1,5.0,1.6,70.3,437.5,6.2,12.1,8.8,1.8,22.6,7.5,61.0,0.4,1.1,1.5,vanderbilt
7,18.7,29.9,62.7,243.4,1.6,39.1,117.9,3.0,1.3,69.0,361.3,5.2,10.4,8.3,1.9,20.6,6.6,53.7,0.4,1.3,1.7,-2.37,4.49,18.9,31.3,60.3,223.4,1.6,38.3,172.1,4.5,2.1,69.6,395.6,5.7,9.6,10.6,1.6,21.7,5.9,55.0,0.6,0.6,1.1,virginia
7,17.1,30.3,56.6,219.6,1.6,37.7,140.3,3.7,1.1,68.0,359.9,5.3,9.3,8.1,2.0,19.4,6.7,62.7,0.7,0.4,1.1,3.58,3.86,15.7,26.9,58.5,169.4,1.1,36.9,172.1,4.7,1.7,63.7,341.6,5.4,7.1,8.6,1.9,17.6,6.3,50.4,0.7,0.6,1.3,virginia-tech
7,18.0,30.3,59.4,218.3,1.4,41.3,145.1,3.5,0.9,71.6,363.4,5.1,9.4,10.7,3.0,23.1,3.9,35.4,1.1,1.1,2.3,-0.84,-2.55,20.0,33.0,60.6,238.6,1.4,33.0,128.3,3.9,0.7,66.0,366.9,5.6,9.6,7.1,0.6,17.3,7.9,71.9,0.7,0.9,1.6,wake-forest
7,27.6,39.0,70.7,403.3,3.0,23.7,103.9,4.4,1.9,62.7,507.1,8.1,16.4,6.0,2.3,24.7,7.7,81.0,0.6,0.9,1.4,18.6,1.74,23.9,41.4,57.6,250.0,1.4,33.1,136.7,4.1,1.0,74.6,386.7,5.2,11.7,8.3,3.6,23.6,6.1,53.3,0.0,1.3,1.3,washington
7,27.9,39.9,69.9,352.1,2.4,28.6,87.9,3.1,1.4,68.4,440.0,6.4,13.9,6.4,1.6,21.9,5.7,43.3,1.0,0.7,1.7,8.0,5.43,23.1,37.1,62.3,275.4,1.3,34.4,161.6,4.7,2.3,71.6,437.0,6.1,11.7,8.6,1.1,21.4,5.7,49.4,0.4,0.7,1.1,washington-state
7,13.9,25.9,53.6,202.6,1.4,44.7,191.4,4.3,2.3,70.6,394.0,5.6,8.0,11.0,2.1,21.1,4.6,43.7,0.7,0.6,1.3,3.2,2.49,18.3,32.7,55.9,223.7,2.0,33.4,142.1,4.3,1.1,66.1,365.9,5.5,9.9,7.7,1.1,18.7,6.1,53.6,0.1,0.9,1.0,west-virginia
8,26.3,43.1,60.9,292.8,2.6,24.5,102.6,4.2,1.0,67.6,395.4,5.8,12.9,5.1,1.4,19.4,4.9,40.5,0.5,0.8,1.3,3.29,1.04,19.8,33.3,59.4,248.5,1.5,43.9,218.6,5.0,2.1,77.1,467.1,6.1,10.5,12.0,1.4,23.9,6.4,56.4,1.1,1.1,2.3,western-kentucky
8,21.5,34.1,63.0,215.9,1.1,39.5,160.5,4.1,1.9,73.6,376.4,5.1,9.3,8.5,2.5,20.3,7.3,67.3,0.4,0.8,1.1,-9.14,-1.27,19.5,31.5,61.9,249.3,2.1,34.4,155.8,4.5,2.0,65.9,405.0,6.1,10.9,7.5,2.8,21.1,6.9,62.5,0.6,0.6,1.3,western-michigan
7,21.7,36.0,60.3,216.6,0.7,37.0,180.3,4.9,2.3,73.0,396.9,5.4,10.0,10.3,1.1,21.4,5.9,47.3,1.0,0.6,1.6,12.12,3.12,19.9,34.0,58.4,196.3,1.3,34.0,137.9,4.1,0.9,68.0,334.1,4.9,9.3,7.0,0.9,17.1,6.3,57.9,0.3,1.1,1.4,wisconsin
7,14.6,24.4,59.6,160.3,1.7,35.6,164.4,4.6,1.3,60.0,324.7,5.4,7.9,8.4,2.3,18.6,4.0,33.4,0.4,0.4,0.9,4.71,2.42,20.1,34.0,59.2,208.4,1.7,36.9,172.0,4.7,0.9,70.9,380.4,5.4,11.3,9.1,1.0,21.4,5.1,47.3,0.9,0.7,1.6,wyoming
